name,phone,address,types,rating,reviews,lead_score,source,pitch_note,place_id,website
yamoriah,,"University Road, Lagos",restaurant,,,10,openstreetmap,"Hi, I noticed yamoriah doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_node_13092338354,
Goodies,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed Goodies doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_way_411937274,
Hard Rock Cafe,,"3/4, Water Corporation Road, Lagos",restaurant,,,10,openstreetmap,"Hi, I noticed Hard Rock Cafe doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_way_482055903,
Shiro,,"4, Water Corporation Road, Lagos",restaurant,,,10,openstreetmap,"Hi, I noticed Shiro doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_way_482055904,
Johnny Rockets,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed Johnny Rockets doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_way_482242686,
Churrasco,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed Churrasco doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_way_529219699,
Fusion,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed Fusion doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_way_529219701,
Cafè Neo @ cre8,,Lagos,cafe,,,10,openstreetmap,"Hi, I noticed Cafè Neo @ cre8 doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_way_531627776,
Nigerian Law School Cafeteria,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed Nigerian Law School Cafeteria doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_way_536234702,
Casa Lydia Restaurant,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed Casa Lydia Restaurant doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_way_536736960,
Pizza-Riah,,"13, Musa Yardua Street, Lagos",restaurant,,,10,openstreetmap,"Hi, I noticed Pizza-Riah doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_way_537017514,
Crust and Cream,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed Crust and Cream doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_way_537017517,
BG Gardens,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed BG Gardens doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_way_543998062,
Zen Garden,,"60, Isaac John Street, Ikeja",restaurant,,,10,openstreetmap,"Hi, I noticed Zen Garden doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_way_551464847,
Chocolate Royale,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed Chocolate Royale doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_way_560577518,
ArAbesQue,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed ArAbesQue doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_way_560577519,
Café Royal Lekki Peninsula,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed Café Royal Lekki Peninsula doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_way_560577520,
SOUTH Eatery,,"92B, Younis Bashorun Street, Lagos",restaurant,,,10,openstreetmap,"Hi, I noticed SOUTH Eatery doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_way_603511880,
Backyard Bar & Grill,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed Backyard Bar & Grill doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_way_610029905,
The House Café,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed The House Café doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_way_625815368,
La Taverna,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed La Taverna doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_way_625815411,
Orchid House,,"32, Gafari Animashaun Street, Lagos",restaurant,,,10,openstreetmap,"Hi, I noticed Orchid House doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_way_662625486,
Iya Eba,,"14, Berkley Street, Lagos",restaurant,,,10,openstreetmap,"Hi, I noticed Iya Eba doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_way_742173943,
Iya Adura,,Lagos,restaurant,,,10,openstreetmap,"Hi, I noticed Iya Adura doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_way_1088946157,
Syrian Club,,"Ribadu Road, Lagos Island",restaurant,,,10,openstreetmap,"Hi, I noticed Syrian Club doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_way_1373912034,
Balo's Place,,"10, Berkley Street, Lagos",restaurant,,,10,openstreetmap,"Hi, I noticed Balo's Place doesn't have a website yet. I build premium restaurant sites for Lagos businesses — yours could have online reservations and a digital menu live in 3 weeks.",osm_way_1475512199,
